model,Mistral-7B,Llama-7B,Llama-13B,Llama3-8B,Gemma-2B,Llama-70B,EM,Llama3-70B,GPT-4,JudgeLM,Contains,HumanJudgement
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,True,True,True,True,True,True
gpt-4t,True,False,False,True,True,True,False,True,True,False,False,False
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,False,True,True
gpt-4t,False,False,False,False,True,False,False,False,False,False,False,False
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,False,False,False,False,True,False,False,False,False,False,False,False
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,False,False,False,True,False,False,False,False,False,False,True,False
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,False,False,False
gpt-4t,True,False,False,True,True,True,False,True,False,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,False,True,True,True,True,True,False,True,True,False,False,True
gpt-4t,False,True,False,False,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,False,True,False,False,True,False,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,False,True,True,True,False,True,True,True,False,True
gpt-4t,False,False,False,False,True,False,False,False,False,False,False,False
gpt-4t,True,False,True,False,True,True,False,True,False,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,False,False,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,False,False,False,False
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,False,True,True
gpt-4t,False,False,False,True,True,False,False,False,False,False,False,False
gpt-4t,True,True,True,True,True,True,False,True,False,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,True,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,False,True,True,True,False,True,True,False,False,True
gpt-4t,False,True,False,True,True,False,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,False,True,True,True,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,False,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,False,False,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,False,True,False,False,False,False
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,False,True,True,True,True,False,True,True,False,False,True
gpt-4t,True,False,True,False,True,True,False,False,True,False,False,False
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,True,True,True,True,True,True
gpt-4t,True,False,True,False,True,True,False,True,False,False,False,False
gpt-4t,True,True,False,True,True,True,True,True,True,True,True,True
gpt-4t,False,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,False,False,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,False,True,True,True,False,True
gpt-4t,True,False,True,False,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,False,True,True,False,True,True,False,False,True
gpt-4t,True,True,False,False,True,True,True,True,False,False,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,True,True
gpt-4t,True,False,False,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,True,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,False,False,False,True,True,False,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,False,False,False,False,True,False,False,False,False,False,False,False
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,False,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,False,True,True,True,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,False,True,True
gpt-4t,True,True,False,False,True,True,True,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,False,False,True
gpt-4t,False,False,False,False,True,True,True,True,True,False,False,True
gpt-4t,False,True,False,False,True,True,True,True,True,False,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,False,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,False,True,True,True,True,True,False,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,False,False,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,False,True,True
gpt-4t,True,False,False,True,True,True,True,True,False,False,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,False,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,False,False,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,True,True
gpt-4t,True,True,False,True,True,True,False,True,True,False,False,False
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,False,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,False,True,False,True,True,False,True,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,False,False,False,True,True,False,False,True,True,False,True
gpt-4t,True,True,True,True,True,True,False,True,True,False,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,True,True,True,True,True,True
gpt-4t,True,True,False,False,True,True,True,True,True,True,True,True
gpt-4t,True,True,True,True,True,True,False,True,True,True,True,True
gpt-4t,True,True,True,False,True,True,False,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,False,False,False,True,False,False,False,False,False,False,False,False
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,False,False,False,False,True,False,False,False,False,False,False,False
llama2-70b-base,True,True,False,False,True,True,True,True,True,False,True,True
llama2-70b-base,True,False,False,True,True,False,False,False,False,False,False,False
llama2-70b-base,True,True,True,True,True,True,False,True,True,True,False,True
llama2-70b-base,False,False,False,False,False,False,False,False,False,False,False,False
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,False,False,False,False,False,False,False,False,False,False,False,False
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,False,True,True,True,True,False,True,True,False,True,True
llama2-70b-base,True,False,False,True,True,True,False,True,True,True,False,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,False,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,False,True,False,False,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,False,False,False,False,False,False,False,True,True,False,False,False
llama2-70b-base,True,True,True,True,True,True,False,True,True,True,False,True
llama2-70b-base,True,True,False,True,True,True,False,True,True,False,False,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,False,True,True,True,True,True
llama2-70b-base,True,True,False,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,False,True,True,True,True,True,True,True,False,True,True
llama2-70b-base,True,False,False,True,False,True,False,True,True,False,False,False
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,False,True,True
llama2-70b-base,True,False,False,True,True,True,False,True,True,False,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,False,False,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,False,True,True,True,False,True
llama2-70b-base,True,True,False,True,True,True,True,True,True,False,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,True,True,True,True,True,True,True,True,True,True,True,True
llama2-70b-base,False,False,False,True,False,False,False,False,False,False,False,False
llama2-70b-base,True,True,False,True,True,True,False,True,True,True,False,False
